Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Jon Jones,def.,Brandon Vera,TKO (elbow and punches),1,3:19
Heavyweight,Junior dos Santos,def.,Gabriel Gonzaga,KO (punches),1,3:53
Heavyweight,Cheick Kongo,def.,Paul Buentello,Submission (strikes),3,1:16
Middleweight,Alessio Sakara,def.,James Irvin,TKO (punch),1,3:01
Lightweight,Clay Guida,def.,Shannon Gugerty,Submission (arm-triangle choke),2,3:40
Light Heavyweight,Vladimir Matyushenko,def.,Eliot Marshall,"Decision (split) (30–27, 28–29, 30–27)",3,5:00
Lightweight,Darren Elkins,def.,Duane Ludwig,TKO (ankle injury),1,0:44
Welterweight,John Howard,def.,Daniel Roberts,KO (punch),1,2:01
Heavyweight,Brendan Schaub,def.,Chase Gormley,TKO (punches),1,0:47
Welterweight,Mike Pierce,def.,Julio Paulino,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Light Heavyweight,Jason Brilz,def.,Eric Schafer,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
