Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Conor McGregor,def,Nate Diaz,"Decision (majority) (48–47, 47–47, 48–47)",5,5:00
Light Heavyweight,Anthony Johnson,def.,Glover Teixeira,KO (punch),1,0:13
Welterweight,Donald Cerrone,def.,Rick Story,TKO (head kick and punches),2,2:02
Welterweight,Mike Perry,def.,Hyun Gyu Lim,TKO (punches),1,3:38
Welterweight,Tim Means,def.,Sabah Homasi,TKO (punches),2,2:56
Bantamweight,Cody Garbrandt,def.,Takeya Mizugaki,TKO (punches),1,0:48
Women's Bantamweight,Raquel Pennington,def.,Elizabeth Phillips,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Featherweight,Artem Lobov,def.,Chris Avila,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Women's Strawweight,Cortney Casey,def.,Randa Markos,Verbal Submission (armbar),1,4:34
Welterweight,Lorenz Larkin,def.,Neil Magny,TKO (elbows),1,4:08
Welterweight,Colby Covington,def.,Max Griffin,TKO (punches),3,2:18
Middleweight,Marvin Vettori,def.,Alberto Uda,Submission (guillotine choke),1,4:30
