Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Flyweight,Demetrious Johnson,def.,Ian McCall,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00
Welterweight,Erick Silva,def.,Charlie Brenneman,Submission (rear-naked choke),1,4:33
Welterweight,Mike Pyle,def.,Josh Neer,KO (punch),1,4:56
Bantamweight,Eddie Wineland,def.,Scott Jorgensen,KO (punches),2,4:10
Welterweight,Mike Pierce,def.,Carlos Eduardo Rocha,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Seth Baczynski,def.,Lance Benoist,"Decision (split) (27–30, 29–28, 29–28)",3,5:00
Featherweight,Matt Grice,def.,Leonard Garcia,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Dustin Pague,def.,Jared Papazian,Submission (rear-naked choke),1,3:21
Lightweight,Tim Means,def.,Justin Salas,TKO (knee & punches),1,1:06
Middleweight,Buddy Roberts,def.,Caio Magalhaes,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Lightweight,Henry Martinez,def.,Bernardo Magalhaes,"Decision (split) (30–27, 28–29, 29–28)",3,5:00
Welterweight,Sean Pierson,def.,Jake Hecht,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
