Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Bantamweight,John Lineker,def.,Michael McDonald,KO (punches),1,2:43
Lightweight,Tony Ferguson,def.,Lando Vannata,Submission (D'Arce choke),2,2:22
Middleweight,Tim Boetsch,def.,Josh Samman,TKO (punches),2,3:49
Heavyweight,Daniel Omielańczuk,def.,Aleksei Oleinik,"Decision (majority) (28–28, 29–28, 29–28)",3,5:00
Welterweight,Keita Nakamura,def.,Kyle Noke,Submission (rear-naked choke),2,4:59
Flyweight,Louis Smolka,def.,Ben Nguyen,TKO (punches and elbows),2,4:41
Women's Bantamweight,Katlyn Chookagian,def.,Lauren Murphy,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Middleweight,Sam Alvey,def.,Eric Spicely,Submission (guillotine choke),1,2:43
Women's Strawweight,Cortney Casey,def.,Cristina Stanciu,TKO (elbows),1,2:36
Lightweight,Scott Holtzman,def.,Cody Pfister,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Bantamweight,Rani Yahya,def.,Matthew Lopez,Submission (arm-triangle choke),3,4:19
Middleweight,Alex Nicholson,def.,Devin Clark,KO (punch),1,4:57
