Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Stephen Thompson,def.,Johny Hendricks,TKO (spinning back kick to the body and punches),1,3:31
Heavyweight,Roy Nelson,def.,Jared Rosholt,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Light Heavyweight,Ovince Saint Preux,def.,Rafael Cavalcante,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Flyweight,Joseph Benavidez,def.,Zach Makovsky,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Light Heavyweight,Misha Cirkunov,def.,Alex Nicholson,Submission (neck crank),2,1:28
Welterweight,Mike Pyle,def.,Sean Spencer,TKO (elbows and knees),3,4:25
Lightweight,Josh Burkman,def.,K.J. Noons,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Heavyweight,Derrick Lewis,def.,Damian Grabowski,TKO (punches),1,2:17
Flyweight,Justin Scoggins,def.,Ray Borg,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00
Featherweight,Diego Rivas,def.,Noad Lahat,KO (flying knee),2,0:23
Welterweight,Mickey Gall,def.,Mike Jackson,Submission (rear-naked choke),1,0:45
Featherweight,Alex White,def.,Artem Lobov,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
