Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Justin Gaethje,def.,Edson Barboza,KO (punch),1,2:30
Middleweight,Jack Hermansson,def.,David Branch,Submission (guillotine choke),1,0:49
Featherweight,Josh Emmett,def.,Michael Johnson,KO (punch),3,4:14
Women's Strawweight,Michelle Waterson,def.,Karolina Kowalkiewicz,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Light Heavyweight,Paul Craig,def.,Kennedy Nzechukwu,Submission (triangle choke),3,4:20
Featherweight,Sodiq Yusuff,def.,Sheymon Moraes,"Decision (unanimous) (29–27, 29–28, 29–28)",3,5:00
Women's Strawweight,Marina Rodriguez,def.,Jessica Aguilar,"Decision (unanimous) (29–26, 29–27, 29–27)",3,5:00
Lightweight,Desmond Green,def.,Ross Pearson,TKO (punches),1,2:52
Featherweight,Kevin Aguilar,def.,Enrique Barzola,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Middleweight,Kevin Holland,def.,Gerald Meerschaert,"Decision (split) (29–27, 28–29, 30–27)",3,5:00
Catchweight (137 lbs),Casey Kenney,def.,Ray Borg,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Women's Flyweight,Maryna Moroz,def.,Sabina Mazo,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Bantamweight,Alex Perez,def.,Mark De La Rosa,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
