Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
N/A,Ken Shamrock,def.,Dan Severn,Submission (guillotine choke),,2:14
N/A,Oleg Taktarov,def.,Tank Abbott,Submission (rear-naked choke),,17:47
N/A,Tank Abbott,def.,Paul Varelans,TKO (punches),,1:53
N/A,Oleg Taktarov,def.,Anthony Macias,Submission (guillotine choke),,0:09
N/A,Tank Abbott,def.,John Matua,KO (punch),,0:20
N/A,Paul Varelans,def.,Cal Worsham,KO (elbow),,1:02
N/A,Patrick Smith,def.,Rudyard Moncayo,Submission (rear-naked choke),,1:08
N/A,Oleg Taktarov,def.,Dave Beneteau,Submission (guillotine),,0:57
N/A,Joel Sutton,def.,Jack McLaughlin,Submission (punches),,2:01
N/A,Anthony Macias,def.,He-Man Ali Gipson,Submission (punches),,3:06
