Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Anderson Silva (c),def,Chael Sonnen,Submission (triangle armbar),5,3:10
Catchweight (171.5 lbs),Jon Fitch,def,Thiago Alves,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Clay Guida,def,Rafael dos Anjos,Submission (jaw injury),3,1:51
Welterweight,Matt Hughes,def,Ricardo Almeida,Technical Submission (Dave Schultz front headlock),1,3:15
Heavyweight,Junior dos Santos,def,Roy Nelson,"Decision (unanimous) (30–26, 30–27, 30–27)",3,5:00
Welterweight,Rick Story,def,Dustin Hazelett,TKO (punches),2,1:15
Light Heavyweight,Phil Davis,def,Rodney Wallace,"Decision (unanimous) (30–26, 30–27, 30–27)",3,5:00
Welterweight,Johny Hendricks,def,Charlie Brenneman,TKO (punches),2,0:40
Light Heavyweight,Tim Boetsch,def,Todd Brown,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Heavyweight,Stefan Struve,def,Christian Morecraft,KO (punches),2,0:22
Welterweight,Dennis Hallman,def,Ben Saunders,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00
