Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Bantamweight,Renan Barão,def.,Urijah Faber,"Decision (unanimous) (49–46, 50–45, 49–46)",5,5:00
Middleweight,Tim Boetsch,def.,Hector Lombard,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Heavyweight,Cheick Kongo,def.,Shawn Jordan,"Decision (unanimous) (30–28, 30–27, 30–27)",3,5:00
Welterweight,James Head,def.,Brian Ebersole,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Welterweight,Matthew Riddle,vs.,Chris Clements,No Contest,3,2:02
Middleweight,Nick Ring,def.,Court McGee,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Bantamweight,Francisco Rivera,vs.,Roland Delorme,No Contest,1,4:19
Light Heavyweight,Ryan Jimmo,def.,Anthony Perosh,KO (punch),1,0:07
Bantamweight,Bryan Caraway,def.,Mitch Gagnon,Submission (rear-naked choke),3,1:39
Featherweight,Antonio Carvalho,def.,Daniel Pineda,KO (punches),1,1:11
Lightweight,Anton Kuivanen,def.,Mitch Clarke,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
