Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Alexander Gustafsson,def.,Thiago Silva,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Middleweight,Brian Stann,def.,Alessio Sakara,KO (punches),1,2:26
Welterweight,Siyar Bahadurzada,def.,Paulo Thiago,KO (punch),1,0:42
Featherweight,Dennis Siver,def.,Diego Nunes,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,John Maguire,def.,DaMarques Johnson,Submission (armbar),2,4:40
Bantamweight,Brad Pickett,def.,Damacio Page,Submission (rear-naked choke),2,4:05
Welterweight,James Head,def.,Papy Abedi,Submission (rear-naked choke),1,4:33
Light Heavyweight,Cyrille Diabate,def.,Tom DeBlass,"Decision (majority) (29–28, 29–28, 28–28)",3,5:00
Middleweight,Francis Carmont,def.,Magnus Cedenblad,Submission (rear-naked choke),2,1:42
Lightweight,Reza Madadi,def.,Yoislandy Izquierdo,Submission (guillotine choke),2,1:28
Welterweight,Simeon Thoresen,def.,Besam Yousef,Submission (rear-naked choke),2,2:36
Featherweight,Jason Young,def.,Eric Wisely,"Decision (unanimous) (30–28, 29–28, 29–28)",3,5:00
