Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Alistair Overeem,def.,Brock Lesnar,TKO (body kick and punches),1,2:26
Lightweight,Nate Diaz,def.,Donald Cerrone,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Welterweight,Johny Hendricks,def.,Jon Fitch,KO (punch),1,0:12
Light Heavyweight,Alexander Gustafsson,def.,Vladimir Matyushenko,TKO (punches),1,2:13
Featherweight,Jimy Hettes,def.,Nam Phan,"Decision (unanimous) (30–25, 30–25, 30–26)",3,5:00
Featherweight,Ross Pearson,def.,Junior Assunção,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Lightweight,Danny Castillo,def.,Anthony Njokuani,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Welterweight,Dong Hyun Kim,def.,Sean Pierson,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Jacob Volkmann,def.,Efrain Escudero,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Diego Nunes,def.,Manny Gamburyan,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
