Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Featherweight,Chan Sung Jung,def.,Dustin Poirier,Technical Submission (D'Arce choke),4,1:07
Welterweight,Amir Sadollah,def.,Jorge Lopez,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Lightweight,Donald Cerrone,def.,Jeremy Stephens,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Yves Jabouin,def.,Jeff Hougland,"Decision (unanimous) (30–27, 30–26, 30–27)",3,5:00
Light Heavyweight,Igor Pokrajac,def.,Fabio Maldonado,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00
Middleweight,Tom Lawlor,def.,Jason MacDonald,KO (punch),1,0:50
Middleweight,Brad Tavares,def.,Dongi Yang,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Cody McKenzie,def.,Marcus LeVesseur,Submission (guillotine choke),1,3:05
Lightweight,TJ Grant,def.,Carlo Prater,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Rafael dos Anjos,def.,Kamal Shalorus,Submission (rear-naked choke),1,1:40
Bantamweight,Johnny Eduardo,def.,Jeff Curran,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Bantamweight,Francisco Rivera,def.,Alex Soto,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
