Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Stipe Miocic,def.,Daniel Cormier (c),TKO (punches),4,4:09
Welterweight,Nate Diaz,def.,Anthony Pettis,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Middleweight,Paulo Costa,def.,Yoel Romero,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Sodiq Yusuff,def.,Gabriel Benítez,TKO (punches),1,4:14
Middleweight,Derek Brunson,def.,Ian Heinisch,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Khama Worthy,def.,Devonte Smith,TKO (punches),1,4:15
Bantamweight,Cory Sandhagen,def.,Raphael Assunção,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Lightweight,Drakkar Klose,def.,Christos Giagos,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Catchweight (140 lbs),Casey Kenney,def.,Manny Bermudez,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Women's Strawweight,Hannah Cifers,def.,Jodie Esquibel,"Decision (unanimous) (30–28, 30–27, 30–27)",3,5:00
Bantamweight,Kyung Ho Kang,def.,Brandon Davis,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Women's Flyweight,Sabina Mazo,def.,Shana Dobson,"Decision (unanimous) (30–24, 30–25, 30–25)",3,5:00
