Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Michael Johnson,def.,Dustin Poirier,KO (punches),1,1:35
Middleweight,Derek Brunson,def.,Uriah Hall,TKO (punch),1,1:41
Lightweight,Evan Dunham,def.,Rick Glenn,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Roan Carneiro,def.,Kenny Robertson,"Decision (split) (28–29, 30–27, 29–28)",3,5:00
Lightweight,Islam Makhachev,def.,Chris Wade,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Chas Skelly,def.,Maximo Blanco,Technical Submission (anaconda choke),1,0:19
Featherweight,Gabriel Benítez,def.,Sam Sicilia,Technical Submission (standing guillotine choke),2,1:20
Welterweight,Belal Muhammad,def.,Augusto Montaño,TKO (punches),3,4:19
Middleweight,Antônio Carlos Júnior,def.,Leonardo Augusto Guimarães,Submission (rear-naked choke),3,4:46
Bantamweight,José Alberto Quiñónez,def.,Joey Gomez,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Welterweight,Randy Brown,def.,Erick Montaño,Submission (guillotine choke),3,0:18
Bantamweight,Alejandro Pérez,vs.,Albert Morales,"Draw (majority) (29–27, 28–28, 28–28)",3,5:00
