Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Anthony Johnson,def.,Alexander Gustafsson,TKO (punches),1,2:15
Middleweight,Gegard Mousasi,def.,Dan Henderson,TKO (punches),1,1:10
Light Heavyweight,Ryan Bader,def.,Phil Davis,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Featherweight,Sam Sicilia,def.,Akira Corassani,KO (punch),1,3:26
Welterweight,Albert Tumenov,def.,Nico Musoke,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Kenny Robertson,def.,Sultan Aliev,TKO (punches),1,2:42
Featherweight,Makwan Amirkhani,def.,Andy Ogle,TKO (flying knee and punches),1,0:08
Light Heavyweight,Nikita Krylov,def.,Stanislav Nedkov,Submission (standing guillotine choke),1,1:24
Lightweight,Mairbek Taisumov,def.,Anthony Christodoulou,KO (punches),2,0:38
Catchweight (149 lbs),Mirsad Bektić,def.,Paul Redmond,"Decision (unanimous) (30–27, 30–27, 30–25)",3,5:00
Heavyweight,Viktor Pešta,def.,Konstantin Erokhin,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Flyweight,Neil Seery,def.,Chris Beal,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00
