Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Stipe Miocic,def.,Fábio Maldonado,TKO (punches),1,0:35
Heavyweight,Antônio Carlos Júnior,def.,Vitor Miranda,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Middleweight,Warlley Alves,def.,Márcio Alexandre Jr.,Technical Submission (guillotine choke),3,0:25
Welterweight,Demian Maia,def.,Alexander Yakovlev,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Featherweight,Robbie Peralta,def.,Rony Jason,"Decision (split) (29–28, 27–30, 30–27)",3,5:00
Lightweight,Rashid Magomedov,def.,Rodrigo Damm,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Elias Silverio,def.,Ernest Chavez,Submission (rear-naked choke),3,4:21
Welterweight,Gasan Umalatov,def.,Paulo Thiago,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Featherweight,Kevin Souza,def.,Mark Eddiva,TKO (punches),2,4:52
Middleweight,Ricardo Abreu,def.,Wagner Silva,Submission (rear-naked choke),2,1:06
Heavyweight,Marcos Rogério de Lima,def.,Richardson Moreira,KO (punches),1,0:20
Bantamweight,Pedro Munhoz,def.,Matt Hobar,TKO (punches),1,2:47
