Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Stipe Miocic (c),def.,Francis Ngannou,"Decision (unanimous) (50–44, 50–44, 50–44)",5,5:00
Light Heavyweight,Daniel Cormier (c),def.,Volkan Oezdemir,TKO (punches),2,2:00
Featherweight,Calvin Kattar,def.,Shane Burgos,TKO (punches),3,0:32
Light Heavyweight,Gian Villante,def.,Francimar Barroso,"Decision (split) (30–27, 28–29, 30–27)",3,5:00
Bantamweight,Rob Font,def.,Thomas Almeida,TKO (head kick and punches),2,2:24
Featherweight,Kyle Bochniak,def.,Brandon Davis,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Welterweight,Abdul Razak Alhassan,def.,Sabah Homasi,KO (punch),1,3:47
Flyweight,Dustin Ortiz,def.,Alexandre Pantoja,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Julio Arce,def.,Dan Ige,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Featherweight,Enrique Barzola,def.,Matt Bessette,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Lightweight,Islam Makhachev,def.,Gleison Tibau,KO (punch),1,0:57
