Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Flyweight,Demetrious Johnson (c),def.,Kyoji Horiguchi,Submission (armbar),5,4:59
Catchweight (215 lbs),Quinton Jackson,def.,Fábio Maldonado,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Middleweight,Michael Bisping,def.,C.B. Dollaway,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Catchweight (160 lbs),John Makdessi,def.,Shane Campbell,TKO (punches),1,4:53
Bantamweight,Thomas Almeida,def.,Yves Jabouin,TKO (punches),1,4:18
Welterweight,Patrick Côté,def.,Joe Riggs,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Women's Bantamweight,Alexis Davis,def.,Sarah Kaufman,Submission (armbar),2,1:52
Lightweight,Chad Laprise,def.,Bryan Barberena,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Lightweight,Olivier Aubin-Mercier,def.,David Michaud,Submission (rear-naked choke),3,3:24
Welterweight,Nordine Taleb,def.,Chris Clements,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Women's Strawweight,Valérie Létourneau,def.,Jessica Rakoczy,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Women's Strawweight,Randa Markos,def.,Aisling Daly,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
