Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Mark Hunt,def.,Roy Nelson,KO (punch),2,3:00
Lightweight,Myles Jury,def.,Takanori Gomi,TKO (punches),1,1:32
Welterweight,Yoshihiro Akiyama,def.,Amir Sadollah,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Women's Bantamweight,Miesha Tate,def.,Rin Nakai,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Welterweight,Kiichi Kunimoto,def.,Richard Walsh,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Flyweight,Kyoji Horiguchi,def.,Jon delos Reyes,TKO (punches),1,3:48
Bantamweight,Masanori Kanehara,def.,Alex Caceres,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Katsunori Kikuno,def.,Sam Sicilia,Submission (rear-naked choke),2,1:38
Welterweight,Hyun Gyu Lim,def.,Takenori Sato,TKO (elbows),1,1:18
Bantamweight,Kyung Ho Kang,def.,Michinori Tanaka,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Lightweight,Johnny Case,def.,Kazuki Tokudome,Technical Submission (guillotine choke),2,2:34
Featherweight,Maximo Blanco,def.,Dan Hooker,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
