Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Yushin Okami,def.,Nate Marquardt,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00
Lightweight,Dennis Siver,def.,Andre Winner,Submission (rear-naked choke),1,3:37
Welterweight,Amir Sadollah,def.,Peter Sobotta,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Light Heavyweight,Krzysztof Soszynski,def.,Goran Reljic,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Duane Ludwig,def.,Nick Osipczak,"Decision (split) (28–30, 29–28, 29–28)",3,5:00
Light Heavyweight,Vladimir Matyushenko,def.,Alexandre Ferreira,TKO (punches and elbows),1,2:20
Welterweight,Pascal Krauss,def.,Mark Scanlon,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Kyle Noke,def.,Rob Kimmons,Submission (rear-naked choke),2,1:33
Light Heavyweight,Karlos Vemola,def.,Seth Petruzelli,TKO (punches),1,3:46
Welterweight,Carlos Eduardo Rocha,def.,Kris McCray,Submission (kneebar),1,2:21
