Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Women's Bantamweight,Holly Holm,def.,Ronda Rousey (c),KO (head kick and punches),2,0:59
Women's Strawweight,Joanna Jędrzejczyk (c),def.,Valérie Létourneau,"Decision (unanimous) (49–46, 49–46, 50–45)",5,5:00
Heavyweight,Mark Hunt,def.,Antônio Silva,TKO (punches),1,3:41
Middleweight,Robert Whittaker,def.,Uriah Hall,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Heavyweight,Jared Rosholt,def.,Stefan Struve,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Jake Matthews,def.,Akbarh Arreola,TKO (doctor stoppage),2,5:00
Welterweight,Kyle Noke,def.,Peter Sobotta,TKO (front kick to the body and punches),1,2:01
Light Heavyweight,Gian Villante,def.,Anthony Perosh,KO (punch),1,2:56
Flyweight,Danny Martinez,def.,Richie Vaculik,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Dan Kelly,def.,Steve Montgomery,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Richard Walsh,def.,Steve Kennedy,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Welterweight,James Moontasri,def.,Anton Zafir,"TKO (spinning back kick, spinning back fist and punches)",1,4:36
Flyweight,Ben Nguyen,def.,Ryan Benoit,Submission (rear-naked choke),1,2:35
