Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Cain Velasquez,def.,Junior dos Santos (c),"Decision (unanimous) (50–45, 50–43, 50–44)",5,5:00
Lightweight,Jim Miller,def.,Joe Lauzon,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Middleweight,Costas Philippou,def.,Tim Boetsch,TKO (punches),3,2:11
Middleweight,Yushin Okami,def.,Alan Belcher,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Middleweight,Derek Brunson,def.,Chris Leben,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Bantamweight,Eddie Wineland,def.,Brad Pickett,"Decision (split) (30–27, 28–29, 30–27)",3,5:00
Bantamweight,Érik Pérez,def.,Byron Bloodworth,TKO (punches),1,3:50
Lightweight,Jamie Varner,def.,Melvin Guillard,"Decision (split) (30–27, 27–30, 30–27)",3,5:00
Lightweight,Myles Jury,def.,Michael Johnson,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Heavyweight,Todd Duffee,def.,Phil De Fries,TKO (punches),1,2:04
Featherweight,Max Holloway,def.,Leonard Garcia,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Flyweight,John Moraga,def.,Chris Cariaso,Submission (guillotine choke),3,1:11
