Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Rashad Evans,def.,Phil Davis,"Decision (unanimous) (50–45, 50–45, 50–45)",5,5:00
Middleweight,Chael Sonnen,def.,Michael Bisping,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Middleweight,Chris Weidman,def.,Demian Maia,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00
Lightweight,Evan Dunham,def.,Nik Lentz,TKO (doctor stoppage),2,5:00
Heavyweight,Mike Russow,def.,John-Olav Einemo,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Featherweight,Cub Swanson,def.,George Roop,TKO (punches),2,2:22
Featherweight,Charles Oliveira,def.,Eric Wisely,Submission (reverse calf slicer),1,1:43
Lightweight,Michael Johnson,def.,Shane Roller,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Heavyweight,Lavar Johnson,def.,Joey Beltran,KO (punches),1,4:24
Middleweight,Chris Camozzi,def.,Dustin Jacoby,Submission (guillotine choke),3,1:08
