Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Flyweight,Henry Cejudo (c),def.,T.J. Dillashaw,TKO (punches),1,0:32
Heavyweight,Allen Crowder,def.,Greg Hardy,DQ (illegal knee),2,2:28
Lightweight,Gregor Gillespie,def.,Yancy Medeiros,TKO (punches),2,4:59
Flyweight,Joseph Benavidez,def.,Dustin Ortiz,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Women's Flyweight,Paige VanZant,def.,Rachael Ostovich,Submission (armbar),2,1:50
Light Heavyweight,Glover Teixeira,def.,Karl Roberson,Submission (arm-triangle choke),1,3:21
Lightweight,Donald Cerrone,def.,Alexander Hernandez,TKO (head kick and punches),2,3:43
Women's Flyweight,Joanne Calderwood,def.,Ariane Lipski,"Decision (unanimous) (30–26, 30–26, 30–27)",3,5:00
Light Heavyweight,Alonzo Menifield,def.,Vinicius Moreira,TKO (punches),1,3:56
Bantamweight,Cory Sandhagen,def.,Mario Bautista,Submission (armbar),1,3:31
Lightweight,Dennis Bermudez,def.,Te Edwards,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00
Welterweight,Geoff Neal,def.,Belal Muhammad,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Welterweight,Chance Rencountre,def.,Kyle Stewart,Submission (rear-naked choke),1,2:25
