Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Women's Strawweight,Michelle Waterson,def.,Paige VanZant,Technical Submission (rear-naked choke),1,3:21
Welterweight,Mickey Gall,def.,Sage Northcutt,Submission (rear-naked choke),2,1:40
Bantamweight,Urijah Faber,def.,Brad Pickett,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00
Welterweight,Alan Jouban,def.,Mike Perry,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Light Heavyweight,Paul Craig,def.,Henrique da Silva,Submission (armbar),2,1:59
Featherweight,Mizuto Hirota,def.,Cole Miller,"Decision (unanimous) (30–26, 30–27, 30–27)",3,5:00
Welterweight,Colby Covington,def.,Bryan Barberena,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Alex Morono,def.,James Moontasri,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Josh Emmett,def.,Scott Holtzman,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Women's Bantamweight,Leslie Smith,def.,Irene Aldana,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Bantamweight,Eddie Wineland,def.,Takeya Mizugaki,TKO (punches),1,3:04
Flyweight,Hector Sandoval,def.,Fredy Serrano,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00
Welterweight,Sultan Aliev,def.,Bojan Veličković,"Decision (split) (28–29, 30–27, 30–27)",3,5:00
