Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Anderson Silva (c),def.,Chael Sonnen,TKO (knee to the body and punches),2,1:55
Light Heavyweight,Forrest Griffin,def.,Tito Ortiz,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Middleweight,Cung Le,def.,Patrick Côté,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Demian Maia,def.,Dong Hyun Kim,TKO (muscle spasm),1,0:47
Featherweight,Chad Mendes,def.,Cody McKenzie,TKO (body punch),1,0:31
Bantamweight,Mike Easton,def.,Ivan Menjivar,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00
Lightweight,Melvin Guillard,def.,Fabrício Camões,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Khabib Nurmagomedov,def.,Gleison Tibau,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Costas Philippou,def.,Riki Fukuda,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Lightweight,Shane Roller,def.,John Alessio,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Rafaello Oliveira,def.,Yoislandy Izquierdo,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
