Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Phil Davis,def.,Antônio Rogério Nogueira,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Anthony Johnson,def.,Dan Hardy,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Amir Sadollah,def.,DaMarques Johnson,Submission (strikes),2,3:27
Featherweight,Chan Sung Jung,def.,Leonard Garcia,Submission (twister),2,4:59
Heavyweight,Mike Russow,def.,Jon Madsen,TKO (doctor stoppage),2,5:00
Featherweight,Mackens Semerzier,def.,Alex Caceres,Submission (rear-naked choke),1,3:18
Welterweight,John Hathaway,def.,Kris McCray,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Bantamweight,Michael McDonald,def.,Edwin Figueroa,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Heavyweight,Christian Morecraft,def.,Sean McCorkle,Technical Submission (guillotine choke),2,4:10
Welterweight,Johny Hendricks,def.,TJ Waldburger,TKO (punches),1,1:35
Middleweight,Aaron Simpson,def.,Mario Miranda,"Decision (unanimous) (30–27, 30–27, 30–26)",3,5:00
Lightweight,Nik Lentz,def.,Waylon Lowe,Submission (guillotine choke),3,2:24
