Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Diego Sanchez,def.,Clay Guida,"Decision (split) (28–29, 29–27, 29–28)",3,5:00
Welterweight,James Wilks,def.,DaMarques Johnson,Submission (rear-naked choke),1,4:54
Lightweight,Ross Pearson,def.,Andre Winner,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Chris Lytle,def.,Kevin Burns,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Joe Stevenson,def.,Nate Diaz,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Melvin Guillard,def.,Gleison Tibau,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Welterweight,Brad Blackburn,def.,Edgar Garcia,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Catchweight (208 lbs),Tomasz Drwal,def.,Mike Ciesnolevicz,TKO (knee and punches),1,4:48
Welterweight,Nick Osipczak,def.,Frank Lester,Submission (rear-naked choke),1,3:40
Lightweight,Jason Dent,def.,Cameron Dollar,Submission (anaconda choke),1,4:46
