Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Quinton Jackson,def.,Keith Jardine,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Heavyweight,Shane Carwin,def.,Gabriel Gonzaga,KO (punch),1,1:09
Welterweight,Matt Brown,def.,Pete Sell,TKO (punches),1,1:32
Light Heavyweight,Matt Hamill,def.,Mark Munoz,KO (head kick),1,3:53
Lightweight,Gray Maynard,def.,Jim Miller,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Tamdan McCrory,def.,Ryan Madigan,TKO (punches),1,3:35
Middleweight,Kendall Grove,def.,Jason Day,TKO (punches and elbows),1,1:32
Light Heavyweight,Jason Brilz,def.,Tim Boetsch,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Light Heavyweight,Brandon Vera,def.,Michael Patt,TKO (leg kicks),2,1:27
Lightweight,Shane Nelson,def.,Aaron Riley,TKO (punches),1,0:44
