Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
N/A,Royce Gracie,def.,Dan Severn,Submission (triangle choke),,15:49
N/A,Royce Gracie,def.,Keith Hackney,Submission (armbar),,5:32
N/A,Dan Severn,def.,Marcus Bossett,Submission (arm-triangle choke),,0:52
N/A,Royce Gracie,def.,Ron van Clief,Submission (rear-naked choke),,3:49
N/A,Keith Hackney,def.,Joe Son,Submission (blood choke),,2:44
N/A,Steve Jennum,def.,Melton Bowen,Submission (armbar),,4:47
N/A,Dan Severn,def.,Anthony Macias,Submission (rear-naked choke),,1:45
N/A,Joe Charles,def.,Kevin Rosier,Submission (armbar),,0:14
N/A,Marcus Bossett,def.,Eldo Dias Xavier,KO (strikes),,4:55
N/A,Guy Mezger,def.,Jason Fairn,TKO (corner stoppage),,2:13
