Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Featherweight,Chad Mendes,def.,Ricardo Lamas,TKO (punches),1,2:45
Lightweight,Al Iaquinta,def.,Jorge Masvidal,"Decision (split) (29–28, 27–30, 29–28)",3,5:00
Lightweight,Michael Chiesa,def.,Mitch Clarke,"Decision (unanimous) (29–26, 29–26, 29–28)",3,5:00
Women's Bantamweight,Julianna Peña,def.,Milana Dudieva,TKO (punches and elbows),1,3:59
Featherweight,Clay Guida,def.,Robbie Peralta,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Dustin Poirier,def.,Carlos Diego Ferreira,KO (punches),1,3:45
Women's Bantamweight,Liz Carmouche,def.,Lauren Murphy,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Alexander Yakovlev,def.,Gray Maynard,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00
Heavyweight,Timothy Johnson,def.,Shamil Abdurakhimov,TKO (punches),1,4:57
Middleweight,Ron Stallings,def.,Justin Jones,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
