Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Jon Jones (c),def.,Anthony Smith,"Decision (unanimous) (48–44, 48–44, 48–44)",5,5:00
Welterweight,Kamaru Usman,def.,Tyron Woodley (c),"Decision (unanimous) (50–44, 50–44, 50–45)",5,5:00
Welterweight,Ben Askren,def.,Robbie Lawler,Technical Submission (bulldog choke),1,3:20
Women's Strawweight,Zhang Weili,def.,Tecia Torres,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Bantamweight,Pedro Munhoz,def.,Cody Garbrandt,KO (punches),1,4:51
Featherweight,Zabit Magomedsharipov,def.,Jeremy Stephens,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Light Heavyweight,Johnny Walker,def.,Misha Cirkunov,TKO (flying knee and punches),1,0:36
Bantamweight,Cody Stamann,def.,Alejandro Pérez,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Welterweight,Diego Sanchez,def.,Mickey Gall,TKO (punches),2,4:13
Middleweight,Edmen Shahbazyan,def.,Charles Byrd,TKO (elbows and punches),1,0:38
Women's Bantamweight,Macy Chiasson,def.,Gina Mazany,TKO (punches),1,1:49
Women's Strawweight,Hannah Cifers,def.,Polyana Viana,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
