Number,WikiLink,Name,Date
426,/wiki/UFC_220,UFC 220: Miocic vs. Ngannou,"Jan 20, 2018"
425,/wiki/UFC_Fight_Night:_Stephens_vs._Choi,UFC Fight Night: Stephens vs. Choi,"Jan 14, 2018"
424,/wiki/UFC_219,UFC 219: Cyborg vs. Holm,"Dec 30, 2017"
423,/wiki/UFC_on_Fox:_Lawler_vs._dos_Anjos,UFC on Fox: Lawler vs. dos Anjos,"Dec 16, 2017"
422,/wiki/UFC_Fight_Night:_Swanson_vs._Ortega,UFC Fight Night: Swanson vs. Ortega,"Dec 9, 2017"
421,/wiki/UFC_218,UFC 218: Holloway vs. Aldo 2,"Dec 2, 2017"
420,/wiki/The_Ultimate_Fighter:_A_New_World_Champion#The_Ultimate_Fighter_26_Finale,The Ultimate Fighter: A New World Champion Finale,"Dec 1, 2017"
419,/wiki/UFC_Fight_Night:_Bisping_vs._Gastelum,UFC Fight Night: Bisping vs. Gastelum,"Nov 25, 2017"
418,/wiki/UFC_Fight_Night:_Werdum_vs._Tybura,UFC Fight Night: Werdum vs. Tybura,"Nov 19, 2017"
417,/wiki/UFC_Fight_Night:_Poirier_vs._Pettis,UFC Fight Night: Poirier vs. Pettis,"Nov 11, 2017"
416,/wiki/UFC_217,UFC 217: Bisping vs. St-Pierre,"Nov 4, 2017"
415,/wiki/UFC_Fight_Night:_Brunson_vs._Machida,UFC Fight Night: Brunson vs. Machida,"Oct 28, 2017"
414,/wiki/UFC_Fight_Night:_Cowboy_vs._Till,UFC Fight Night: Cowboy vs. Till,"Oct 21, 2017"
413,/wiki/UFC_216,UFC 216: Ferguson vs. Lee,"Oct 7, 2017"
412,/wiki/UFC_Fight_Night:_Saint_Preux_vs._Okami,UFC Fight Night: Saint Preux vs. Okami,"Sep 23, 2017"
411,/wiki/UFC_Fight_Night:_Rockhold_vs._Branch,UFC Fight Night: Rockhold vs. Branch,"Sep 16, 2017"
410,/wiki/UFC_215,UFC 215: Nunes vs. Shevchenko 2,"Sep 9, 2017"
409,/wiki/UFC_Fight_Night:_Volkov_vs._Struve,UFC Fight Night: Volkov vs. Struve,"Sep 2, 2017"
408,/wiki/UFC_Fight_Night:_Pettis_vs._Moreno,UFC Fight Night: Pettis vs. Moreno,"Aug 5, 2017"
407,/wiki/UFC_214,UFC 214: Cormier vs. Jones 2,"Jul 29, 2017"
406,/wiki/UFC_on_Fox:_Weidman_vs._Gastelum,UFC on Fox: Weidman vs. Gastelum,"Jul 22, 2017"
405,/wiki/UFC_Fight_Night:_Nelson_vs._Ponzinibbio,UFC Fight Night: Nelson vs. Ponzinibbio,"Jul 16, 2017"
404,/wiki/UFC_213,UFC 213: Romero vs. Whittaker,"Jul 8, 2017"
403,/wiki/The_Ultimate_Fighter:_Redemption#The_Ultimate_Fighter_25_Finale,The Ultimate Fighter: Redemption Finale,"Jul 7, 2017"
402,/wiki/UFC_Fight_Night:_Chiesa_vs._Lee,UFC Fight Night: Chiesa vs. Lee,"Jun 25, 2017"
401,/wiki/UFC_Fight_Night:_Holm_vs._Correia,UFC Fight Night: Holm vs. Correia,"Jun 17, 2017"
400,/wiki/UFC_Fight_Night:_Lewis_vs._Hunt,UFC Fight Night: Lewis vs. Hunt,"Jun 11, 2017"
399,/wiki/UFC_212,UFC 212: Aldo vs. Holloway,"Jun 3, 2017"
398,/wiki/UFC_Fight_Night:_Gustafsson_vs._Teixeira,UFC Fight Night: Gustafsson vs. Teixeira,"May 28, 2017"
397,/wiki/UFC_211,UFC 211: Miocic vs. dos Santos 2,"May 13, 2017"
396,/wiki/UFC_Fight_Night:_Swanson_vs._Lobov,UFC Fight Night: Swanson vs. Lobov,"Apr 22, 2017"
395,/wiki/UFC_on_Fox:_Johnson_vs._Reis,UFC on Fox: Johnson vs. Reis,"Apr 15, 2017"
394,/wiki/UFC_210,UFC 210: Cormier vs. Johnson 2,"Apr 8, 2017"
393,/wiki/UFC_Fight_Night:_Manuwa_vs._Anderson,UFC Fight Night: Manuwa vs. Anderson,"Mar 18, 2017"
392,/wiki/UFC_Fight_Night:_Belfort_vs._Gastelum,UFC Fight Night: Belfort vs. Gastelum,"Mar 11, 2017"
391,/wiki/UFC_209,UFC 209: Woodley vs. Thompson 2,"Mar 4, 2017"
390,/wiki/UFC_Fight_Night:_Lewis_vs._Browne,UFC Fight Night: Lewis vs. Browne,"Feb 19, 2017"
389,/wiki/UFC_208,UFC 208: Holm vs. de Randamie,"Feb 11, 2017"
388,/wiki/UFC_Fight_Night:_Bermudez_vs._The_Korean_Zombie,UFC Fight Night: Bermudez vs. The Korean Zombie,"Feb 4, 2017"
387,/wiki/UFC_on_Fox:_Shevchenko_vs._Pe%C3%B1a,UFC on Fox: Shevchenko vs. Peña,"Jan 28, 2017"
386,/wiki/UFC_Fight_Night:_Rodr%C3%ADguez_vs._Penn,UFC Fight Night: Rodríguez vs. Penn,"Jan 15, 2017"
385,/wiki/UFC_207,UFC 207: Nunes vs. Rousey,"Dec 30, 2016"
384,/wiki/UFC_on_Fox:_VanZant_vs._Waterson,UFC on Fox: VanZant vs. Waterson,"Dec 17, 2016"
383,/wiki/UFC_206,UFC 206: Holloway vs. Pettis,"Dec 10, 2016"
382,/wiki/UFC_Fight_Night:_Lewis_vs._Abdurakhimov,UFC Fight Night: Lewis vs. Abdurakhimov,"Dec 9, 2016"
381,/wiki/The_Ultimate_Fighter:_Tournament_of_Champions#The_Ultimate_Fighter_24_Finale,The Ultimate Fighter: Tournament of Champions Finale,"Dec 3, 2016"
380,/wiki/UFC_Fight_Night:_Whittaker_vs._Brunson,UFC Fight Night: Whittaker vs. Brunson,"Nov 27, 2016"
379,/wiki/UFC_Fight_Night:_Bader_vs._Nogueira_2,UFC Fight Night: Bader vs. Nogueira 2,"Nov 19, 2016"
378,/wiki/UFC_Fight_Night:_Mousasi_vs._Hall_2,UFC Fight Night: Mousasi vs. Hall 2,"Nov 19, 2016"
377,/wiki/UFC_205,UFC 205: Alvarez vs. McGregor,"Nov 12, 2016"
376,/wiki/The_Ultimate_Fighter:_Latin_America_3#The_Ultimate_Fighter_Latin_America_3_Finale:_dos_Anjos_vs._Ferguson,The Ultimate Fighter Latin America 3 Finale: dos Anjos vs. Ferguson,"Nov 5, 2016"
–,/wiki/UFC_Fight_Night:_Lamas_vs._Penn,UFC Fight Night: Lamas vs. Penn,"Oct 15, 2016"
375,/wiki/UFC_204,UFC 204: Bisping vs. Henderson 2,"Oct 8, 2016"
374,/wiki/UFC_Fight_Night:_Lineker_vs._Dodson,UFC Fight Night: Lineker vs. Dodson,"Oct 1, 2016"
373,/wiki/UFC_Fight_Night:_Cyborg_vs._L%C3%A4nsberg,UFC Fight Night: Cyborg vs. Länsberg,"Sep 24, 2016"
372,/wiki/UFC_Fight_Night:_Poirier_vs._Johnson,UFC Fight Night: Poirier vs. Johnson,"Sep 17, 2016"
371,/wiki/UFC_203,UFC 203: Miocic vs. Overeem,"Sep 10, 2016"
370,/wiki/UFC_Fight_Night:_Arlovski_vs._Barnett,UFC Fight Night: Arlovski vs. Barnett,"Sep 3, 2016"
369,/wiki/UFC_on_Fox:_Maia_vs._Condit,UFC on Fox: Maia vs. Condit,"Aug 27, 2016"
368,/wiki/UFC_202,UFC 202: Diaz vs. McGregor 2,"Aug 20, 2016"
367,/wiki/UFC_Fight_Night:_Rodr%C3%ADguez_vs._Caceres,UFC Fight Night: Rodríguez vs. Caceres,"Aug 6, 2016"
366,/wiki/UFC_201,UFC 201: Lawler vs. Woodley,"Jul 30, 2016"
365,/wiki/UFC_on_Fox:_Holm_vs._Shevchenko,UFC on Fox: Holm vs. Shevchenko,"Jul 23, 2016"
364,/wiki/UFC_Fight_Night:_McDonald_vs._Lineker,UFC Fight Night: McDonald vs. Lineker,"Jul 13, 2016"
363,/wiki/UFC_200,UFC 200: Tate vs. Nunes,"Jul 9, 2016"
362,/wiki/The_Ultimate_Fighter:_Team_Joanna_vs._Team_Cl%C3%A1udia#The_Ultimate_Fighter_23_Finale,The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,"Jul 8, 2016"
361,/wiki/UFC_Fight_Night:_dos_Anjos_vs._Alvarez,UFC Fight Night: dos Anjos vs. Alvarez,"Jul 7, 2016"
360,/wiki/UFC_Fight_Night:_MacDonald_vs._Thompson,UFC Fight Night: MacDonald vs. Thompson,"Jun 18, 2016"
359,/wiki/UFC_199,UFC 199: Rockhold vs. Bisping 2,"Jun 4, 2016"
358,/wiki/UFC_Fight_Night:_Almeida_vs._Garbrandt,UFC Fight Night: Almeida vs. Garbrandt,"May 29, 2016"
357,/wiki/UFC_198,UFC 198: Werdum vs. Miocic,"May 14, 2016"
356,/wiki/UFC_Fight_Night:_Overeem_vs._Arlovski,UFC Fight Night: Overeem vs. Arlovski,"May 8, 2016"
355,/wiki/UFC_197,UFC 197: Jones vs. Saint Preux,"Apr 23, 2016"
354,/wiki/UFC_on_Fox:_Teixeira_vs._Evans,UFC on Fox: Teixeira vs. Evans,"Apr 16, 2016"
353,/wiki/UFC_Fight_Night:_Rothwell_vs._dos_Santos,UFC Fight Night: Rothwell vs. dos Santos,"Apr 10, 2016"
352,/wiki/UFC_Fight_Night:_Hunt_vs._Mir,UFC Fight Night: Hunt vs. Mir,"Mar 20, 2016"
351,/wiki/UFC_196,UFC 196: McGregor vs. Diaz,"Mar 5, 2016"
350,/wiki/UFC_Fight_Night:_Silva_vs._Bisping,UFC Fight Night: Silva vs. Bisping,"Feb 27, 2016"
349,/wiki/UFC_Fight_Night:_Cowboy_vs._Cowboy,UFC Fight Night: Cowboy vs. Cowboy,"Feb 21, 2016"
348,/wiki/UFC_Fight_Night:_Hendricks_vs._Thompson,UFC Fight Night: Hendricks vs. Thompson,"Feb 6, 2016"
347,/wiki/UFC_on_Fox:_Johnson_vs._Bader,UFC on Fox: Johnson vs. Bader,"Jan 30, 2016"
346,/wiki/UFC_Fight_Night:_Dillashaw_vs._Cruz,UFC Fight Night: Dillashaw vs. Cruz,"Jan 17, 2016"
345,/wiki/UFC_195,UFC 195: Lawler vs. Condit,"Jan 2, 2016"
344,/wiki/UFC_on_Fox:_dos_Anjos_vs._Cowboy_2,UFC on Fox: dos Anjos vs. Cowboy 2,"Dec 19, 2015"
343,/wiki/UFC_194,UFC 194: Aldo vs. McGregor,"Dec 12, 2015"
342,/wiki/The_Ultimate_Fighter:_Team_McGregor_vs._Team_Faber#The_Ultimate_Fighter_22_Finale,The Ultimate Fighter: Team McGregor vs. Team Faber Finale,"Dec 11, 2015"
341,/wiki/UFC_Fight_Night:_Namajunas_vs._VanZant,UFC Fight Night: Namajunas vs. VanZant,"Dec 10, 2015"
340,/wiki/UFC_Fight_Night:_Henderson_vs._Masvidal,UFC Fight Night: Henderson vs. Masvidal,"Nov 28, 2015"
339,/wiki/The_Ultimate_Fighter:_Latin_America_2#The_Ultimate_Fighter_Latin_America_2_Finale:_Magny_vs._Gastelum,The Ultimate Fighter Latin America 2 Finale: Magny vs. Gastelum,"Nov 21, 2015"
338,/wiki/UFC_193,UFC 193: Rousey vs. Holm,"Nov 15, 2015"
337,/wiki/UFC_Fight_Night:_Belfort_vs._Henderson_3,UFC Fight Night: Belfort vs. Henderson 3,"Nov 7, 2015"
336,/wiki/UFC_Fight_Night:_Holohan_vs._Smolka,UFC Fight Night: Holohan vs. Smolka,"Oct 24, 2015"
335,/wiki/UFC_192,UFC 192: Cormier vs. Gustafsson,"Oct 3, 2015"
334,/wiki/UFC_Fight_Night:_Barnett_vs._Nelson,UFC Fight Night: Barnett vs. Nelson,"Sep 27, 2015"
333,/wiki/UFC_191,UFC 191: Johnson vs. Dodson 2,"Sep 5, 2015"
332,/wiki/UFC_Fight_Night:_Holloway_vs._Oliveira,UFC Fight Night: Holloway vs. Oliveira,"Aug 23, 2015"
331,/wiki/UFC_Fight_Night:_Teixeira_vs._Saint_Preux,UFC Fight Night: Teixeira vs. Saint Preux,"Aug 8, 2015"
330,/wiki/UFC_190,UFC 190: Rousey vs. Correia,"Aug 1, 2015"
329,/wiki/UFC_on_Fox:_Dillashaw_vs._Bar%C3%A3o_2,UFC on Fox: Dillashaw vs. Barão 2,"Jul 25, 2015"
328,/wiki/UFC_Fight_Night:_Bisping_vs._Leites,UFC Fight Night: Bisping vs. Leites,"Jul 18, 2015"
327,/wiki/UFC_Fight_Night:_Mir_vs._Duffee,UFC Fight Night: Mir vs. Duffee,"Jul 15, 2015"
326,/wiki/The_Ultimate_Fighter:_American_Top_Team_vs._Blackzilians#The_Ultimate_Fighter_21_Finale,The Ultimate Fighter: American Top Team vs. Blackzilians Finale,"Jul 12, 2015"
325,/wiki/UFC_189,UFC 189: Mendes vs. McGregor,"Jul 11, 2015"
324,/wiki/UFC_Fight_Night:_Machida_vs._Romero,UFC Fight Night: Machida vs. Romero,"Jun 27, 2015"
323,/wiki/UFC_Fight_Night:_J%C4%99drzejczyk_vs._Penne,UFC Fight Night: Jędrzejczyk vs. Penne,"Jun 20, 2015"
322,/wiki/UFC_188,UFC 188: Velasquez vs. Werdum,"Jun 13, 2015"
321,/wiki/UFC_Fight_Night:_Boetsch_vs._Henderson,UFC Fight Night: Boetsch vs. Henderson,"Jun 6, 2015"
320,/wiki/UFC_Fight_Night:_Condit_vs._Alves,UFC Fight Night: Condit vs. Alves,"May 30, 2015"
319,/wiki/UFC_187,UFC 187: Johnson vs. Cormier,"May 23, 2015"
318,/wiki/UFC_Fight_Night:_Edgar_vs._Faber,UFC Fight Night: Edgar vs. Faber,"May 16, 2015"
317,/wiki/UFC_Fight_Night:_Miocic_vs._Hunt,UFC Fight Night: Miocic vs. Hunt,"May 10, 2015"
316,/wiki/UFC_186,UFC 186: Johnson vs. Horiguchi,"Apr 25, 2015"
315,/wiki/UFC_on_Fox:_Machida_vs._Rockhold,UFC on Fox: Machida vs. Rockhold,"Apr 18, 2015"
314,/wiki/UFC_Fight_Night:_Gonzaga_vs._Cro_Cop_2,UFC Fight Night: Gonzaga vs. Cro Cop 2,"Apr 11, 2015"
313,/wiki/UFC_Fight_Night:_Mendes_vs._Lamas,UFC Fight Night: Mendes vs. Lamas,"Apr 4, 2015"
312,/wiki/UFC_Fight_Night:_Maia_vs._LaFlare,UFC Fight Night: Maia vs. LaFlare,"Mar 21, 2015"
311,/wiki/UFC_185,UFC 185: Pettis vs. dos Anjos,"Mar 14, 2015"
310,/wiki/UFC_184,UFC 184: Rousey vs. Zingano,"Feb 28, 2015"
309,/wiki/UFC_Fight_Night:_Bigfoot_vs._Mir,UFC Fight Night: Bigfoot vs. Mir,"Feb 22, 2015"
308,/wiki/UFC_Fight_Night:_Henderson_vs._Thatch,UFC Fight Night: Henderson vs. Thatch,"Feb 14, 2015"
307,/wiki/UFC_183,UFC 183: Silva vs. Diaz,"Jan 31, 2015"
306,/wiki/UFC_on_Fox:_Gustafsson_vs._Johnson,UFC on Fox: Gustafsson vs. Johnson,"Jan 24, 2015"
305,/wiki/UFC_Fight_Night:_McGregor_vs._Siver,UFC Fight Night: McGregor vs. Siver,"Jan 18, 2015"
304,/wiki/UFC_182,UFC 182: Jones vs. Cormier,"Jan 3, 2015"
303,/wiki/UFC_Fight_Night:_Machida_vs._Dollaway,UFC Fight Night: Machida vs. Dollaway,"Dec 20, 2014"
302,/wiki/UFC_on_Fox:_dos_Santos_vs._Miocic,UFC on Fox: dos Santos vs. Miocic,"Dec 13, 2014"
301,/wiki/The_Ultimate_Fighter:_A_Champion_Will_Be_Crowned#The_Ultimate_Fighter_20_Finale,The Ultimate Fighter: A Champion Will Be Crowned Finale,"Dec 12, 2014"
300,/wiki/UFC_181,UFC 181: Hendricks vs. Lawler II,"Dec 6, 2014"
299,/wiki/UFC_Fight_Night:_Edgar_vs._Swanson,UFC Fight Night: Edgar vs. Swanson,"Nov 22, 2014"
298,/wiki/UFC_180,UFC 180: Werdum vs. Hunt,"Nov 15, 2014"
297,/wiki/UFC_Fight_Night:_Shogun_vs._Saint_Preux,UFC Fight Night: Shogun vs. Saint Preux,"Nov 8, 2014"
296,/wiki/UFC_Fight_Night:_Rockhold_vs._Bisping,UFC Fight Night: Rockhold vs. Bisping,"Nov 8, 2014"
295,/wiki/UFC_179,UFC 179: Aldo vs. Mendes 2,"Oct 25, 2014"
294,/wiki/UFC_Fight_Night:_MacDonald_vs._Saffiedine,UFC Fight Night: MacDonald vs. Saffiedine,"Oct 4, 2014"
293,/wiki/UFC_Fight_Night:_Nelson_vs._Story,UFC Fight Night: Nelson vs. Story,"Oct 4, 2014"
292,/wiki/UFC_178,UFC 178: Johnson vs. Cariaso,"Sep 27, 2014"
291,/wiki/UFC_Fight_Night:_Hunt_vs._Nelson,UFC Fight Night: Hunt vs. Nelson,"Sep 20, 2014"
290,/wiki/UFC_Fight_Night:_Bigfoot_vs._Arlovski,UFC Fight Night: Bigfoot vs. Arlovski,"Sep 13, 2014"
289,/wiki/UFC_Fight_Night:_Jacar%C3%A9_vs._Mousasi,UFC Fight Night: Jacaré vs. Mousasi,"Sep 5, 2014"
288,/wiki/UFC_177,UFC 177: Dillashaw vs. Soto,"Aug 30, 2014"
287,/wiki/UFC_Fight_Night:_Henderson_vs._dos_Anjos,UFC Fight Night: Henderson vs. dos Anjos,"Aug 23, 2014"
286,/wiki/UFC_Fight_Night:_Bisping_vs._Le,UFC Fight Night: Bisping vs. Le,"Aug 23, 2014"
285,/wiki/UFC_Fight_Night:_Bader_vs._Saint_Preux,UFC Fight Night: Bader vs. Saint Preux,"Aug 16, 2014"
–,/wiki/UFC_176,UFC 176: Aldo vs. Mendes II,"Aug 2, 2014"
284,/wiki/UFC_on_Fox:_Lawler_vs._Brown,UFC on Fox: Lawler vs. Brown,"Jul 26, 2014"
283,/wiki/UFC_Fight_Night:_McGregor_vs._Brandao,UFC Fight Night: McGregor vs. Brandao,"Jul 19, 2014"
282,/wiki/UFC_Fight_Night:_Cowboy_vs._Miller,UFC Fight Night: Cowboy vs. Miller,"Jul 16, 2014"
281,/wiki/The_Ultimate_Fighter:_Team_Edgar_vs._Team_Penn#The_Ultimate_Fighter_19_Finale,The Ultimate Fighter: Team Edgar vs. Team Penn Finale,"Jul 6, 2014"
280,/wiki/UFC_175,UFC 175: Weidman vs. Machida,"Jul 5, 2014"
279,/wiki/UFC_Fight_Night:_Swanson_vs._Stephens,UFC Fight Night: Swanson vs. Stephens,"Jun 28, 2014"
278,/wiki/UFC_Fight_Night:_Te_Huna_vs._Marquardt,UFC Fight Night: Te Huna vs. Marquardt,"Jun 28, 2014"
277,/wiki/UFC_174,UFC 174: Johnson vs. Bagautinov,"Jun 14, 2014"
276,/wiki/UFC_Fight_Night:_Henderson_vs._Khabilov,UFC Fight Night: Henderson vs. Khabilov,"Jun 7, 2014"
275,/wiki/The_Ultimate_Fighter:_Brazil_3#The_Ultimate_Fighter_Brazil_3_Finale:_Miocic_vs._Maldonado,The Ultimate Fighter Brazil 3 Finale: Miocic vs. Maldonado,"May 31, 2014"
274,/wiki/UFC_Fight_Night:_Mu%C3%B1oz_vs._Mousasi,UFC Fight Night: Muñoz vs. Mousasi,"May 31, 2014"
273,/wiki/UFC_173,UFC 173: Barão vs. Dillashaw,"May 24, 2014"
272,/wiki/UFC_Fight_Night:_Brown_vs._Silva,UFC Fight Night: Brown vs. Silva,"May 10, 2014"
271,/wiki/UFC_172,UFC 172: Jones vs. Teixeira,"Apr 26, 2014"
270,/wiki/UFC_on_Fox:_Werdum_vs._Browne,UFC on Fox: Werdum vs. Browne,"Apr 19, 2014"
269,/wiki/The_Ultimate_Fighter_Nations:_Canada_vs._Australia#The_Ultimate_Fighter_Nations_Finale:_Bisping_vs._Kennedy,The Ultimate Fighter Nations Finale: Bisping vs. Kennedy,"Apr 16, 2014"
268,/wiki/UFC_Fight_Night:_Nogueira_vs._Nelson,UFC Fight Night: Nogueira vs. Nelson,"Apr 11, 2014"
267,/wiki/UFC_Fight_Night:_Shogun_vs._Henderson_2,UFC Fight Night: Shogun vs. Henderson 2,"Mar 23, 2014"
266,/wiki/UFC_171,UFC 171: Hendricks vs. Lawler,"Mar 15, 2014"
265,/wiki/UFC_Fight_Night:_Gustafsson_vs._Manuwa,UFC Fight Night: Gustafsson vs. Manuwa,"Mar 8, 2014"
