Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Featherweight,Conor McGregor,def.,Dennis Siver,TKO (punches),2,1:54
Lightweight,Donald Cerrone,def.,Benson Henderson,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Middleweight,Uriah Hall,def.,Ron Stallings,TKO (doctor stoppage),1,3:37
Lightweight,Gleison Tibau,def.,Norman Parke,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
Welterweight,Cathal Pendred,def.,Sean Spencer,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Welterweight,Lorenz Larkin,def.,John Howard,TKO (punches),1,2:17
Lightweight,Chris Wade,def.,Zhang Lipeng,"Decision (unanimous) (30–26, 30–26, 30–26)",3,5:00
Flyweight,Paddy Holohan,def.,Shane Howell,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Johnny Case,def.,Frankie Perez,TKO (elbows and punches),3,1:54
Featherweight,Charles Rosa,def.,Sean Soriano,Submission (D'Arce choke),3,4:43
Light Heavyweight,Sean O'Connell,def.,Matt Van Buren,TKO (punches),3,2:11
Flyweight,Joby Sanchez,def.,Tateki Matsuda,"Decision (split) (29–28, 28–29, 30–27)",3,5:00
