Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Featherweight,José Aldo (c),def.,Chad Mendes,"Decision (unanimous) (49–46,  49–46, 49–46)",5,5:00
Light Heavyweight,Phil Davis,def.,Glover Teixeira,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Light Heavyweight,Fábio Maldonado,def.,Hans Stringer,TKO (punches),2,4:06
Featherweight,Darren Elkins,def.,Lucas Martins,"Decision (split) (27–30, 30–27, 30–27)",3,5:00
Lightweight,Beneil Dariush,def.,Carlos Diego Ferreira,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Welterweight,Neil Magny,def.,William Macário,TKO (punches),3,2:40
Lightweight,Yan Cabral,def.,Naoyuki Kotani,Submission (rear-naked choke),2,3:06
Catchweight (128 lbs),Wilson Reis,def.,Scott Jorgensen,Submission (arm-triangle choke),1,3:28
Featherweight,Andre Fili,def.,Felipe Arantes,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Gilbert Burns,def.,Christos Giagos,Submission (armbar),1,4:57
Catchweight (158 lbs),Tony Martin,def.,Fabrício Camões,Submission (kimura),1,4:16
