Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Chris Lytle,def.,Dan Hardy,Submission (guillotine choke),3,4:16
Lightweight,Benson Henderson,def.,Jim Miller,"Decision (unanimous) (30–27, 29–28, 30–26)",3,5:00
Lightweight,Donald Cerrone,def.,Charles Oliveira,TKO (punches),1,3:01
Welterweight,Duane Ludwig,def.,Amir Sadollah,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Middleweight,Jared Hamman,def.,C.B. Dollaway,TKO (punches),2,3:38
Bantamweight,Joseph Benavidez,def.,Eddie Wineland,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Ed Herman,def.,Kyle Noke,Submission (inverted heel hook),1,4:15
Light Heavyweight,Ronny Markes,def.,Karlos Vemola,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Featherweight,Jimy Hettes,def.,Alex Caceres,Submission (rear-naked choke),2,3:12
Lightweight,Cole Miller,def.,T.J. O'Brien,Submission (guillotine choke),2,2:38
Lightweight,Jacob Volkmann,def.,Danny Castillo,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Bantamweight,Edwin Figueroa,def.,Jason Reinhardt,TKO (elbows and punches),2,0:50
