Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Rashad Evans,def.,Dan Henderson,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Heavyweight,Stipe Miocic,def.,Roy Nelson,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Light Heavyweight,Ryan Jimmo,def.,Igor Pokrajac,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Women's Bantamweight,Alexis Davis,def.,Rosi Sexton,"Decision (unanimous) (29–28, 29–27, 29–28)",3,5:00
Heavyweight,Shawn Jordan,def.,Pat Barry,TKO (punches),1,0:59
Welterweight,Jake Shields,def.,Tyron Woodley,"Decision (split) (27–30, 29–28, 29–28)",3,5:00
Lightweight,James Krause,def.,Sam Stout,Submission (guillotine choke),3,4:47
Welterweight,Sean Pierson,def.,Kenny Robertson,"Decision (majority) (29–28, 29–28, 28–28)",3,5:00
Bantamweight,Roland Delorme,def.,Edwin Figueroa,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Lightweight,Mitch Clarke,def.,John Maguire,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Bantamweight,Yves Jabouin,def.,Dustin Pague,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
