Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
N/A,Royce Gracie,def.,Patrick Smith,Submission (punches),,1:17
N/A,Patrick Smith,def.,Johnny Rhodes,Submission (guillotine choke),,1:07
N/A,Royce Gracie,def.,Remco Pardoel,Submission (lapel choke),,1:31
N/A,Patrick Smith,def.,Scott Morris,KO (elbows),,0:30
N/A,Johnny Rhodes,def.,Fred Ettish,Submission (bulldog choke),,3:07
N/A,Remco Pardoel,def.,Orlando Wiet,KO (elbows),,1:29
N/A,Royce Gracie,def.,Jason DeLucia,Submission (armlock),,1:07
N/A,Scott Morris,def.,Sean Daugherty,Submission (guillotine choke),,0:20
N/A,Patrick Smith,def.,Ray Wizard,Submission (guillotine choke),,0:58
N/A,Johnny Rhodes,def.,David Levicki,Submission (punches),,12:13
N/A,Frank Hamaker,def.,Thaddeus Luster,Submission (armlock),,4:52
N/A,Orlando Wiet,def.,Robert Lucarelli,TKO (corner stoppage),,2:50
N/A,Remco Pardoel,def.,Alberto Cerro Leon,Submission (forearm choke),,9:51
N/A,Jason DeLucia,def.,Scott Baker,Submission (triangle Choke),,6:41
N/A,Royce Gracie,def.,Minoki Ichihara,Submission (lapel choke),,5:08
