Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Colby Covington,def.,Robbie Lawler,"Decision (unanimous) (50–44, 50–45, 50–45)",5,5:00
Lightweight,Jim Miller,def.,Clay Guida,Technical Submission (guillotine choke),1,0:58
Lightweight,Nasrat Haqparast,def.,Joaquim Silva,KO (punches),2,0:36
Middleweight,Gerald Meerschaert,def.,Trevin Giles,Technical Submission (guillotine choke),3,1:49
Catchweight (158 lbs.),Scott Holtzman,def.,Dong Hyun Ma,TKO (doctor stoppage),2,5:00
Light Heavyweight,Kennedy Nzechukwu,def.,Darko Stošić,"Decision (unanimous) (29–26, 29–26, 28–27)",3,5:00
Welterweight,Mickey Gall,def.,Salim Touahri,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Women's Flyweight,Antonina Shevchenko,def.,Lucie Pudilová,Technical Submission (rear-naked choke),2,1:20
Flyweight,Matt Schnell,def.,Jordan Espinosa,Submission (triangle choke),1,1:23
Women's Flyweight,Lauren Murphy,def.,Mara Romero Borella,TKO (knee and elbows),3,1:46
Catchweight (176 lbs),Cláudio Silva,def.,Cole Williams,Submission (rear-naked choke),1,2:35
Women's Flyweight,Miranda Granger,def.,Hannah Goldy,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
