Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Welterweight,Leon Scott,def.,Rafael dos Anjos,"Decision (unanimous) (50–45, 49–46, 49–46)",5,5:00
Heavyweight,Walt Harris,def.,Aleksei Oleinik,KO (punch),1,0:12
Heavyweight,Greg Hardy,def.,Juan Adams,TKO (punches),1,0:45
Lightweight,Dan Hooker,def.,James Vick,KO (punches),1,2:33
Lightweight,Alexander Hernandez,def.,Francisco Trinaldo,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Heavyweight,Andrei Arlovski,def.,Ben Rothwell,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Featherweight,Alex Caceres,def.,Steven Peterson,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Women's Bantamweight,Raquel Pennington,def.,Irene Aldana,"Decision (split) (28–29, 29–28, 29–28)",3,5:00
Light Heavyweight,Klidson Abreu,def.,Sam Alvey,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Catchweight (129 lbs),Jennifer Maia,def.,Roxanne Modafferi,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Ray Borg,def.,Gabriel Silva,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Bantamweight,Mario Bautista,def.,Jin Soo Son,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Bantamweight,Felipe Colares,def.,Domingo Pilarte,"Decision (split) (29–28, 28–29, 29–28)",3,5:00
