Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Antônio Rodrigo Nogueira,def,Randy Couture,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Light Heavyweight,Thiago Silva,def,Keith Jardine,KO (punches),1,1:35
Middleweight,Jake Rosholt,def,Chris Leben,Technical Submission (arm-triangle choke),3,1:30
Middleweight,Nate Marquardt,def,Demian Maia,KO (punch),1,0:21
Light Heavyweight,Brandon Vera,def,Krzysztof Soszynski,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Aaron Simpson,def,Ed Herman,TKO (knee injury),2,0:17
Heavyweight,Gabriel Gonzaga,def,Chris Tuchscherer,TKO (punches),1,2:27
Heavyweight,Mike Russow,def,Justin McCully,"Decision (unanimous) (29–28, 30–26, 30–27)",3,5:00
Heavyweight,Todd Duffee,def,Tim Hague,KO (punches),1,0:07
Middleweight,Mark Muñoz,def,Nick Catone,"Decision (split) (28–29, 30–27, 29–28)",3,5:00
Lightweight,Evan Dunham,def,Marcus Aurelio,"Decision (split) (28–29, 29–28, 30–27)",3,5:00
