Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Justin Gaethje,def.,James Vick,KO (punch),1,1:27
Featherweight,Michael Johnson,def.,Andre Fili,"Decision (split) (29–28, 27–30, 29–28)",3,5:00
Women's Strawweight,Cortney Casey,def.,Angela Hill,"Decision (split) (30–27, 28–29, 29–28)",3,5:00
Welterweight,Bryan Barberena,def.,Jake Ellenberger,TKO (punches),1,2:26
Flyweight,Deiveson Figueiredo,def.,John Moraga,TKO (punches),2,3:08
Middleweight,Eryk Anders,def.,Tim Williams,KO (head kick),3,4:42
Welterweight,James Krause,def.,Warlley Alves,TKO (knee and punches),2,2:28
Bantamweight,Cory Sandhagen,def.,Iuri Alcântara,TKO (punches),2,1:01
Middleweight,Andrew Sanchez,def.,Markus Perez Echeimberg,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Welterweight,Mickey Gall,def.,George Sullivan,Submission (rear-naked choke),1,1:09
Women's Flyweight,Joanne Calderwood,def.,Kalindra Faria,Submission (triangle armbar),1,4:57
Lightweight,Drew Dober,def.,Jon Tuck,"Decision (unanimous) (30–27, 30–26, 30–26)",3,5:00
Bantamweight,Rani Yahya,def.,Luke Sanders,Submission (heel hook),1,1:31
