Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Gegard Mousasi,def.,Mark Muñoz,Submission (rear-naked choke),1,3:57
Middleweight,C.B. Dollaway,def.,Francis Carmont,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Middleweight,Sean Strickland,def.,Luke Barnatt,"Decision (split) (28–29, 30–27, 29–28)",3,5:00
Featherweight,Niklas Bäckström,def.,Tom Niinimäki,Submission (rear-naked choke),1,4:15
Lightweight,Nick Hein,def.,Drew Dober,"Decision (unanimous) (29–28, 30–27, 29–28)",3,5:00
Middleweight,Magnus Cedenblad,def.,Krzysztof Jotko,Submission (guillotine choke),2,4:59
Bantamweight,Iuri Alcântara,def.,Vaughan Lee,TKO (punches),1,0:25
Welterweight,Peter Sobotta,def.,Pawel Pawlak,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Featherweight,Maximo Blanco,def.,Andy Ogle,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Heavyweight,Ruslan Magomedov,def.,Viktor Pešta,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
