Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Light Heavyweight,Jon Jones (c),def.,Glover Teixeira,"Decision (unanimous) (50–45, 50–45, 50–45)",5,5:00
Light Heavyweight,Anthony Johnson,def.,Phil Davis,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Middleweight,Luke Rockhold,def.,Tim Boetsch,Submission (kimura),1,2:08
Lightweight,Jim Miller,def.,Yancy Medeiros,Technical Submission (guillotine choke),1,3:18
Featherweight,Max Holloway,def.,Andre Fili,Submission (guillotine choke),3,3:39
Flyweight,Joseph Benavidez,def.,Tim Elliott,Submission (guillotine choke),1,4:08
Lightweight,Takanori Gomi,def.,Isaac Vallie-Flagg,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Women's Bantamweight,Bethe Correia,def.,Jessamyn Duke,"Decision (unanimous) (30–27, 29–28, 30–27)",3,5:00
Lightweight,Danny Castillo,def.,Charlie Brenneman,KO (punch),2,0:21
Bantamweight,Chris Beal,def.,Patrick Williams,KO (flying knee),2,1:51
