Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Khabib Nurmagomedov(c),def.,Conor McGregor,Submission (neck crank),4,3:03
Lightweight,Tony Ferguson,def.,Anthony Pettis,TKO (corner stoppage),2,5:00
Light Heavyweight,Dominick Reyes,def.,Ovince Saint Preux,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Heavyweight,Derrick Lewis,def.,Alexander Volkov,KO (punches),3,4:49
Women's Strawweight,Michelle Waterson,def.,Felice Herrig,"Decision (unanimous) (30–26, 29–28, 30–27)",3,5:00
Flyweight,Jussier Formiga,def.,Sergio Pettis,"Decision (unanimous) (30–26, 29–28, 29–28)",3,5:00
Welterweight,Vicente Luque,def.,Jalin Turner,KO (punches),1,3:52
Women's Bantamweight,Aspen Ladd,def.,Tonya Evinger,TKO (punches),1,3:26
Lightweight,Scott Holtzman,def.,Alan Patrick,KO (elbows),3,3:42
Women's Bantamweight,Yana Kunitskaya,def.,Lina Länsberg,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Nik Lentz,def.,Gray Maynard,TKO (head kick and punches),2,1:19
Welterweight,Tony Martin,def.,Ryan LaFlare,KO (head kick and punches),3,1:00
