Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Anderson Silva (c),def.,Vitor Belfort,KO (front kick and punches),1,3:25
Light Heavyweight,Forrest Griffin,def.,Rich Franklin,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Light Heavyweight,Jon Jones,def.,Ryan Bader,Submission (guillotine choke),2,4:20
Welterweight,Jake Ellenberger,def.,Carlos Eduardo Rocha,"Decision (split) (27–30, 29–28, 29–28)",3,5:00
Bantamweight,Miguel Torres,def.,Antonio Banuelos,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Lightweight,Donald Cerrone,def.,Paul Kelly,Submission (rear-naked choke),2,3:48
Featherweight,Chad Mendes,def.,Michihiro Omigawa,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Demetrious Johnson,def.,Norifumi Yamamoto,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Lightweight,Paul Taylor,def.,Gabe Ruediger,KO (head kick and punches),2,1:42
Light Heavyweight,Kyle Kingsbury,def.,Ricardo Romero,TKO (punches),1,0:21
Welterweight,Mike Pierce,def.,Kenny Robertson,KO (punches),2,0:29
