Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Middleweight,Lyoto Machida,def.,Mark Muñoz,KO (head kick),1,3:10
Lightweight,Ross Pearson,vs.,Melvin Guillard,No Contest (illegal knee),1,1:57
Light Heavyweight,Jimi Manuwa,def.,Ryan Jimmo,TKO (injury),2,4:41
Lightweight,Norman Parke,def.,Jon Tuck,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Middleweight,Nico Musoke,def.,Alessio Sakara,Submission (armbar),1,3:07
Catchweight (128 lbs),John Lineker,def.,Phil Harris,TKO (punches),1,2:51
Lightweight,Al Iaquinta,def.,Piotr Hallmann,"Decision (unanimous) (29–28, 30–27, 30–27)",3,5:00
Middleweight,Luke Barnatt,def.,Andrew Craig,Submission (rear-naked choke),2,2:12
Women's Bantamweight,Jéssica Andrade,def.,Rosi Sexton,"Decision (unanimous) (30–26, 30–27, 30–26)",3,5:00
Featherweight,Cole Miller,def.,Andy Ogle,"Decision (unanimous) (29–28, 29–28, 29–28)",3,5:00
Featherweight,Jimy Hettes,def.,Robert Whiteford,Technical Submission (triangle choke),2,2:17
Middleweight,Brad Scott,def.,Michael Kuiper,Submission (standing guillotine choke),1,4:17
