Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Lightweight,Jim Miller,def.,Melvin Guillard,Submission (rear-naked choke),1,3:04
Welterweight,Josh Neer,def.,Duane Ludwig,Technical Submission (guillotine choke),1,3:04
Bantamweight,Mike Easton,def.,Jared Papazian,"Decision (majority) (29–28, 30–27, 29–29)",3,5:00
Heavyweight,Pat Barry,def.,Christian Morecraft,KO (punches),1,3:38
Middleweight,Jorge Rivera,def.,Eric Schafer,TKO (punches),2,1:31
Lightweight,Khabib Nurmagomedov,def.,Kamal Shalorus,Submission (rear-naked choke),3,2:08
Welterweight,Charlie Brenneman,def.,Daniel Roberts,"Decision (unanimous) (30–27, 30–27, 29–28)",3,5:00
Lightweight,Fabrício Camões,def.,Tommy Hayden,Submission (rear-naked choke),1,4:03
Featherweight,Daniel Pineda,def.,Pat Schilling,Submission (rear-naked choke),1,1:37
Bantamweight,Nick Denis,def.,Joseph Sandoval,KO (elbows),1,0:22
