Weight Class,Red Fighter,Outcome,Blue Fighter,Method,Round,Time
Heavyweight,Curtis Blaydes,def.,Junior dos Santos,TKO (punches),2,1:06
Welterweight,Michael Chiesa,def.,Rafael dos Anjos,"Decision (unanimous) (30–27, 29–28, 29–28)",3,5:00
Flyweight,Alex Perez,def.,Jordan Espinosa,Technical Submission (arm-triangle choke),1,2:33
Women's Strawweight,Angela Hill,def.,Hannah Cifers,TKO (elbows and punches),2,4:26
Light Heavyweight,Jamahal Hill,def.,Darko Stošić,"Decision (unanimous) (29–27, 29–27, 29–27)",3,5:00
Middleweight,Bevon Lewis,def.,Dequan Townsend,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Featherweight,Arnold Allen,def.,Nik Lentz,"Decision (unanimous) (29–28, 29–28, 30–27)",3,5:00
Women's Flyweight,Justine Kish,def.,Lucie Pudilová,"Decision (unanimous) (30–27, 30–27, 30–27)",3,5:00
Bantamweight,Montel Jackson,def.,Felipe Colares,"Decision (unanimous) (30–26, 30–26, 30–25)",3,5:00
Women's Bantamweight,Sara McMann,def.,Lina Länsberg,"Decision (unanimous) (30–27, 30–26, 30–25)",3,5:00
Bantamweight,Brett Johns,def.,Tony Gravely,Submission (rear-naked choke),3,2:53
Featherweight,Herbert Burns,def.,Nate Landwehr,KO (knee),1,2:43
